StateAB,County,Population,EQ_Loss,EQ_pca,EQ_risk,Fire_Loss,Fire_pca,Fire_risk,Flood_Loss,Flood_pca,Flood_risk,Hurricane_Loss,Hurricane_pca,Hurricane_risk,Mud_Loss,Mud_pca,Mud_risk,Other_Loss,Other_pca,Other_risk,Storm_Loss,Storm_pca,Storm_risk,Tornado_Loss,Tornado_pca,Tornado_risk
WV,Ohio,44443,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
NE,Douglas,517110,0,0,1,0,0,1,85688.54,0.1657066,2,0,0,1,0,0,1,0,0,1,355546.03,0.687563632,2,0,0,1
AL,Shelby,195085,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,134433.26,0.689100956,2,0,0,1
FL,Lake,297052,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,205882.16,0.693084578,2,0,0,1
IN,Huntington,37124,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,26416.68,0.711579571,2,0,0,1
NE,Lancaster,285407,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,203823.83,0.714151475,2,0,0,1
IN,Adams,34387,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,25180.49,0.732267717,2,0,0,1
FL,Polk,602095,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,448594.04,0.745055249,2,0,0,1
IN,Grant,70061,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,53893.9,0.769242517,2,0,0,1
TX,Dallas,2368139,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1877885.86,0.792979576,2,0,0,1
FL,Hillsborough,1229226,0,0,1,0,0,1,0,0,1,122132.98,0.099357628,2,0,0,1,0,0,1,832441.86,0.677208146,2,0,0,1
IN,Hendricks,145448,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,120651.91,0.82951921,2,0,0,1
MO,Montgomery,12236,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,10708.02,0.875124224,2,0,0,1
NJ,Essex,783969,0,0,1,0,0,1,0,0,1,32840418.06,41.8899447,2,0,0,1,0,0,1,694566.94,0.885962251,2,0,0,1
MO,Howard,10144,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9082.83,0.895389393,2,0,0,1
AR,Craighead,96443,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,86833.14,0.900357102,2,0,0,1
IN,Allen,355329,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,321375.79,0.904445711,2,0,0,1
MS,DeSoto,161252,0,0,1,0,0,1,80040.67,0.496370092,2,0,0,1,0,0,1,0,0,1,149018.66,0.924135267,2,0,0,1
FL,Sarasota,379448,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,351361.07,0.925979502,2,0,0,1
TX,Cameron,406220,0,0,1,0,0,1,0,0,1,27464278.84,67.60937138,2,0,0,1,0,0,1,388985.17,0.95757267,2,0,0,1
CT,New Haven,862477,0,0,1,0,0,1,0,0,1,32092297.16,37.20945273,2,0,0,1,0,0,1,827845.94,0.959846976,2,0,0,1
WV,Cabell,96319,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,81038.45,0.841354769,2,0,0,1
NC,New Hanover,202667,0,0,1,0,0,1,0,0,1,166779.76,0.822925094,2,0,0,1,0,0,1,205757.75,1.015250386,2,0,0,1
MO,Andrew,17291,0,0,1,0,0,1,387861.91,22.43143312,2,0,0,1,0,0,1,0,0,1,11671.31,0.674993349,2,0,0,1
FL,Alachua,247336,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,161582.64,0.65329204,2,0,0,1
OK,Cherokee,46987,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,17027.56,0.362388746,2,0,0,1
MO,Dade,7883,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2894.17,0.367140682,2,0,0,1
OR,Washington,529710,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,201470.49,0.380341111,2,0,0,1
IN,Madison,131636,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,50753.53,0.385559649,2,0,0,1
TN,Lincoln,33361,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,13451.07,0.403197446,2,0,0,1
IL,Lake,703462,0,0,1,0,0,1,3728291.51,5.299918844,2,0,0,1,0,0,1,0,0,1,302837.26,0.430495549,2,0,0,1
GA,Upson,27153,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,13030.83,0.479903878,2,0,0,1
IL,Whiteside,58498,0,0,1,0,0,1,88034.51,1.504914869,2,0,0,1,0,0,1,0,0,1,28514.31,0.487440767,2,0,0,1
NE,Sarpy,158840,0,0,1,0,0,1,652608,4.108587258,2,0,0,1,0,0,1,0,0,1,78407.27,0.493624213,2,0,0,1
OK,Craig,15029,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9828,0.653935724,2,0,0,1
MO,Boone,162642,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,80456.42,0.494684153,2,0,0,1
TN,Polk,16825,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,8848.15,0.525893016,2,0,0,1
MO,Ozark,9723,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5379.77,0.553303507,2,0,0,1
TX,Denton,662614,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,377323.65,0.569447144,2,0,0,1
NC,Hoke,46952,0,0,1,0,0,1,0,0,1,686827.68,14.62829443,2,0,0,1,0,0,1,27418.43,0.583967243,2,0,0,1
NY,Schenectady,154727,0,0,1,0,0,1,0,0,1,6045288.09,39.07067344,2,0,0,1,0,0,1,90433.37,0.584470519,2,0,0,1
FL,Marion,331298,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,203765.55,0.615052158,2,0,0,1
GA,Gordon,55186,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,34230.31,0.620271627,2,0,0,1
MT,Jefferson,11406,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,7359.28,0.645211292,2,0,0,1
IN,Martin,10334,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6672.87,0.645719954,2,0,0,1
TX,Montgomery,455746,0,0,1,197137.33,0.432559649,2,15463515.6,33.93011809,2,19956634.35,43.78894022,2,0,0,1,0,0,1,229453.97,0.503468972,2,0,0,1
AR,Union,41639,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,15024.84,0.360835755,2,0,0,1
WI,La Crosse,114638,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,118522.8,1.033887542,2,0,0,1
GA,Montgomery,9123,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,9520.5,1.043571194,2,0,0,1
GA,Tattnall,25520,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,37212.29,1.458161834,2,0,0,1
WA,Snohomish,713335,0,0,1,0,0,1,1084341.27,1.520101032,2,0,0,1,3015699.63,4.227606426,10,0,0,1,1044292.11,1.463957481,2,0,0,1
MO,Schuyler,4431,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,6562.8,1.481110359,2,0,0,1
NE,Gage,22311,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,33561.51,1.504258438,2,0,0,1
OK,Garvin,27576,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,41622.67,1.509380258,2,0,0,1
TX,Kendall,33410,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,50605.19,1.514671955,2,0,0,1
MT,Flathead,90928,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,138541.56,1.523640243,2,0,0,1
KY,Jackson,13494,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,20780.28,1.539964429,2,0,0,1
FL,Lee,618754,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,956947.49,1.546571804,2,0,0,1
KY,Edmonson,12161,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,17588.26,1.446284023,2,0,0,1
KY,Daviess,96656,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,154866.59,1.602244972,2,0,0,1
IA,Monona,9243,0,0,1,0,0,1,747721.78,80.89600563,2,0,0,1,0,0,1,0,0,1,15098.26,1.633480472,2,0,0,1
IN,Dearborn,50047,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,83028,1.659000539,2,0,0,1
MO,Barton,12402,0,0,1,0,0,1,2605.54,0.210090308,2,0,0,1,0,0,1,0,0,1,20796.03,1.676828737,2,0,0,1
NJ,Union,536499,0,0,1,0,0,1,0,0,1,45152081.86,84.16060768,2,0,0,1,0,0,1,910448.11,1.697017348,2,0,0,1
WA,King,1931249,0,0,1,0,0,1,2960015.36,1.532694831,2,0,0,1,0,0,1,0,0,1,3289894.16,1.703505949,2,0,0,1
