Facility Type,Borough,Facility Name,Cross Streets,Phone,LATITUDE,LONGITUDE
Child Health Center,Queens,Elmhurst Hospital Center,,718-334-4000,40.7387104,-73.87835116
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,40.7128414,-73.98759853
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,40.76197649,-73.94999967
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,40.76197649,-73.94999967
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,40.7128414,-73.98759853
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,40.73962321,-73.97657285
Acute Care Hospital,Manhattan,Harlem Hospital Center,,212-939-1000,40.81427522,-73.94060283
Child Health Center,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,40.70052661,-73.94164386
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,40.82213998,-73.94238975
Child Health Center,Queens,Parsons Communicare Clinic,between Jamaica Ave. & 90th Ave.,718-334-6401,40.71311535,-73.792821
Child Health Center,Manhattan,Washington Heights Child Health Care Center,corner of Broadway,212-795-0880,40.84112788,-73.9399617
Diagnostic & Treatment Center,Bronx,Segundo Ruiz Belvis Diagnostic & Treatment Center,,718-579-4000,40.81012186,-73.91681185
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,40.58664543,-73.96583012
Child Health Center,Queens,South Queens Community Health Center,,718-883-6699,40.67694526,-73.7753069
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,40.72173569,-73.99571941
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,40.67189904,-73.87831882
Child Health Center,Brooklyn,Homecrest Child Health Clinic,between E. 16th St. & E. 17th St.,718-339-6243,40.60123351,-73.94436854
Acute Care Hospital,Queens,Elmhurst Hospital Center,,718-334-4000,40.7387104,-73.87835116
Diagnostic & Treatment Center,Brooklyn,Cumberland Diagnostic & Treatment Center,,718-260-7500,40.69514358,-73.97623557
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,40.71210324,-73.94399407
Acute Care Hospital,Bronx,Lincoln Medical and Mental Health Center,,718-579-5000,40.81768848,-73.92420027
Nursing Home,Brooklyn,Dr. Susan Smith McKinney Nursing and Rehabilitation Center,,718-245-7000,40.66005452,-73.9397615
Acute Care Hospital,Queens,Queens Hospital Center,,718-883-3000,40.71311535,-73.792821
Nursing Home,Staten Island,Sea View Hospital Rehabilitation Center & Home,,718-317-3000,40.59795387,-74.13176633
Child Health Center,Manhattan,Sydenham Health Center,,212-932-6500,40.80933865,-73.94919748
Child Health Center,Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,40.71196973,-73.99754222
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,between Roebling Street & Division Ave.,718-387-6407,40.71536761,-73.95616582
Child Health Center,Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,40.62657645,-74.07699447
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,40.62609762,-74.1574749
Child Health Center,Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,40.66491117,-73.91141092
Child Health Center,Manhattan,Dyckman Clinica De Las Americas,corner of Nagle Ave. and Dyckman St.,212-544-2001,40.86195794,-73.92380764
Child Health Center,Brooklyn,Eleanor Roosevelt Houses Child Health Clinic,between Lewis Ave. & Stuyvesant Ave.,718-452-1146,40.69392372,-73.93545688
Child Health Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,40.83590639,-73.92003404
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,40.70052661,-73.94164386
